"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
1600000,1170,2436,2,2,97,"3012 Bentley Ct","Santa Monica",90405,"March-21-2022"
2662000,2465,6440,3,2.5,44,"12294 Sunset Park Way","Los Angeles",90064,"May-31-2022"
2200000,1036,9600,2,1.5,83,"2344 33rd St","Santa Monica",90405,"June-9-2022"
2360000,1460,6465,3,2,85,"2606 34th St","Santa Monica",90405,"June-23-2022"
2800000,1955,6250,3,3,61,"932 Rose Ave","Venice",90291,"June-14-2022"
2615000,2128,6750,3,2.5,69,"13118 Rose Ave","Los Angeles",90066,"April-13-2022"
2800018,2851,12634,4,3.5,64,"13317 Westcove Dr","Los Angeles",90049,"May-18-2022"
2450000,1600,5954,3,2,73,"1518 Glyndon Ave","Venice",90291,"May-9-2022"
1227000,1565,4570,2,3,82,"2492 S Bundy Dr","Los Angeles",90064,"April-28-2022"
1984500,2129,4994,4,3,62,"3658 Kelton Ave","Los Angeles",90034,"March-15-2022"
1540000,1252,6000,3,2,77,"2921 Midvale Ave","Los Angeles",90064,"May-10-2022"
2553000,2230,6446,3,4,75,"3261 Kelton Ave","Los Angeles",90034,"April-21-2022"
1375000,1327,7034,3,2,77,"2923 Selby Ave","Los Angeles",90064,"March-14-2022"
2200000,1939,6253,3,2,84,"2564 Armacost Ave","Los Angeles",90064,"March-31-2022"
2000000,1444,5038,3,2,72,"3946 Coolidge Ave","Los Angeles",90066,"May-13-2022"
1085000,1442,3750,2,2,88,"3950 Huron Ave","Culver City",90232,"March-24-2022"
1440000,1214,5196,3,2,71,"3536 Federal Ave","Los Angeles",90066,""
1251000,864,3287,2,1,89,"1306 S Centinela Ave","Los Angeles",90025,"May-6-2022"
1300000,1691,6367,3,2,86,"11277 Ivy Pl","Los Angeles",90064,"April-12-2022"
3900000,2123,8976,4,2,99,"401 17th St","Santa Monica",90402,"May-24-2022"
1532000,1241,5523,3,2,81,"2495 Butler Ave","Los Angeles",90064,"April-12-2022"
2943125,2109,4989,3,2,113,"625 California Ave","Santa Monica",90403,"February-14-2022"
1595000,1555,6619,3,2.5,1,"1821-1/2 Veteran Ave","Los Angeles",90025,"April-20-2022"
2120000,2524,8513,5,5,83,"1165 Stanford St","Santa Monica",90403,"May-18-2022"
1480000,1070,4927,2,2,75,"3533 Rosewood Ave","Los Angeles",90066,"March-1-2022"
2070000,1379,5223,3,2,83,"1024 Pearl St","Santa Monica",90405,"February-22-2022"
3525000,2227,5958,4,5,98,"1214 Pearl St","Santa Monica",90405,"May-6-2022"
1901000,1164,7515,3,1,75,"1901 E Euclid St","Santa Monica",90404,"February-28-2022"
895000,642,2473,1,1,75,"1802 Walgrove Ave","Los Angeles",90066,"February-15-2022"
1955000,1770,5504,3,2,78,"4135 Center St","Culver City",90232,"March-7-2022"
3165000,1691,7034,3,3,76,"13014 Brentwood Ter","Los Angeles",90049,""
2525000,1527,6320,2,2,69,"13114 Warren Ave","Los Angeles",90066,"April-15-2022"
2210000,2505,7620,3,3,81,"2314 24th St","Santa Monica",90405,""
4395000,1234,7004,2,1,86,"2428 Ashland Ave","Santa Monica",90405,""
2600000,1715,5287,3,2,91,"11344 Albata St","Los Angeles",90049,"July-25-2022"
1999999,2004,5257,4,3,68,"1157 Lake St","Venice",90291,"July-19-2022"
2300000,2501,5500,3,3,85,"11351 Waterford St","Los Angeles",90049,"July-12-2022"
3430000,2930,6500,4,3.5,90,"1312 Holmby Ave","Los Angeles",90024,"May-24-2022"
2510000,2730,7913,5,3,74,"11455 Clover Ave","Los Angeles",90066,"April-25-2022"
2106000,1713,5299,3,2,73,"2734 Barry Ave","Los Angeles",90064,"February-25-2022"
2950000,2032,6803,3,2,71,"124 S Saltair Ave","Los Angeles",90049,"April-26-2022"
2100000,1634,6506,4,3,96,"10538 Wellworth Ave","Los Angeles",90024,"April-4-2022"
1503500,885,5789,2,1,82,"3276 Veteran Ave","Los Angeles",90034,"April-21-2022"
1316500,896,6119,2,1,82,"3232 Selby Ave","Los Angeles",90034,""
4700000,2283,11467,3,3,69,"1078 Villa Grove Dr","Pacific Palisades",90272,"May-4-2022"
1200000,1535,6889,3,2,96,"2346 Overland","Los Angeles",90064,"April-6-2022"
1760000,2002,5200,3,3,75,"10772 Westminster Ave","Los Angeles",90034,"March-22-2022"
1620000,2224,6951,2,3,95,"3855 Mclaughlin Ave","Los Angeles",90066,"May-25-2022"
1490000,1624,6002,3,2,77,"2804 Westwood Blvd","Los Angeles",90064,"May-13-2022"
2600000,2292,5971,4,3,97,"10538 Almayo Ave","Los Angeles",90064,""
1567400,1294,5664,3,2,82,"10740 Charnock Rd","Los Angeles",90034,"March-3-2022"
2835000,2001,5999,4,3,75,"2608 30th St","Santa Monica",90405,"April-1-2022"
2425000,1795,6250,3,2.5,84,"10625 Esther Ave","Los Angeles",90064,"July-26-2022"
1715000,1735,5637,4,3,94,"10519 Oaklawn Rd","Los Angeles",90064,"August-1-2022"
2895000,2657,5903,4,4,82,"1515 Glendon Ave","Los Angeles",90024,"June-29-2022"
4400000,2419,7525,4,2.5,94,"535 16th St","Santa Monica",90402,"June-3-2022"
6500000,2870,15105,4,3,71,"410 Amalfi Dr","Pacific Palisades",90272,""
4332000,2686,5212,3,2,87,"283 Amalfi Dr","Santa Monica",90402,"June-30-2022"
4400000,2680,6223,4,3.5,68,"233 Amalfi Dr","Santa Monica",90402,"July-12-2022"
3769000,1914,7742,2,2,73,"2447 3rd St","Santa Monica",90405,"June-3-2022"
1320000,1165,4585,3,1,74,"3951 Coolidge Ave","Los Angeles",90066,"July-1-2022"
3175000,1552,10000,3,1,75,"3956 East Blvd","Los Angeles",90066,""
1549000,1444,6398,3,2,81,"3614 Sawtelle Blvd","Los Angeles",90066,"February-23-2022"
2125000,1344,6889,3,2,68,"1185 Mcclellan Dr","Los Angeles",90049,"June-10-2022"
1965000,1652,6183,3,2,83,"1334 Pine St","Santa Monica",90405,"August-3-2022"
2130000,1978,6727,3,2,4,"11315 Victoria Ave","Mar Vista",90066,"March-8-2022"
5500000,2436,10405,2,2,72,"110 Esparta Way","Santa Monica",90402,""
3325000,2307,10940,4,3,67,"1001 Amalfi Dr","Pacific Palisades",90272,"May-24-2022"
