"Team","G","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Boston Celtics*",72,2985,6401,979,2618,2006,3783,1160,1496,765,2421,3186,1689,556,383,1012,1471,8109,"2020-2021"
"Dallas Mavericks*",72,2958,6287,994,2744,1964,3543,1186,1524,657,2463,3120,1647,450,311,869,1396,8096,"2020-2021"
"Minnesota Timberwolves",72,2932,6546,944,2706,1988,3840,1265,1662,757,2376,3133,1846,632,398,1027,1507,8073,"2020-2021"
"Toronto Raptors",72,2859,6383,1041,2831,1818,3552,1252,1536,680,2314,2994,1735,618,388,952,1526,8011,"2020-2021"
"San Antonio Spurs",72,3014,6518,716,2046,2298,4472,1254,1584,669,2489,3158,1759,505,366,821,1293,7998,"2020-2021"
"Chicago Bulls",72,3035,6380,904,2446,2131,3934,995,1258,693,2544,3237,1927,482,304,1089,1362,7969,"2020-2021"
"Los Angeles Lakers*",72,2925,6197,796,2248,2129,3949,1241,1679,695,2490,3185,1775,562,386,1095,1377,7887,"2020-2021"
"Charlotte Hornets",72,2875,6324,985,2666,1890,3658,1146,1505,762,2389,3151,1933,565,344,1069,1297,7881,"2020-2021"
"Houston Rockets",72,2826,6372,992,2923,1834,3449,1189,1606,671,2396,3067,1699,546,361,1060,1407,7833,"2020-2021"
"Miami Heat*",72,2824,6029,932,2606,1892,3423,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781,"2020-2021"
"New York Knicks*",72,2839,6225,847,2163,1992,4062,1181,1506,696,2554,3250,1541,507,365,932,1473,7706,"2020-2021"
"Detroit Pistons",72,2783,6162,832,2370,1951,3792,1278,1683,694,2381,3075,1743,531,371,1075,1477,7676,"2020-2021"
"Oklahoma City Thunder",72,2795,6338,857,2529,1938,3809,1113,1536,715,2568,3283,1588,504,316,1162,1305,7560,"2020-2021"
"Orlando Magic",72,2754,6423,784,2288,1970,4135,1196,1543,747,2525,3272,1571,496,318,924,1237,7488,"2020-2021"
"Cleveland Cavaliers",72,2778,6175,720,2141,2058,4034,1200,1614,751,2327,3078,1716,559,325,1114,1308,7476,"2020-2021"
"Minnesota Timberwolves*",82,3411,7458,1211,3386,2200,4072,1474,1894,921,2700,3621,2106,721,460,1175,1786,9507,"2021-2022"
"Memphis Grizzlies*",82,3571,7739,945,2679,2626,5060,1393,1898,1159,2873,4032,2131,800,533,1082,1620,9480,"2021-2022"
"Milwaukee Bucks*",82,3429,7331,1153,3151,2276,4180,1459,1881,840,2990,3830,1960,623,326,1100,1494,9470,"2021-2022"
"Charlotte Hornets",82,3508,7497,1143,3130,2365,4367,1298,1753,888,2767,3655,2302,707,402,1087,1629,9457,"2021-2022"
"Phoenix Suns*",82,3581,7389,951,2616,2630,4773,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416,"2021-2022"
"Atlanta Hawks*",82,3401,7241,1056,2821,2345,4420,1485,1829,823,2783,3606,2017,587,348,972,1534,9343,"2021-2022"
"Utah Jazz*",82,3327,7067,1192,3308,2135,3759,1470,1916,884,2916,3800,1836,588,402,1149,1547,9316,"2021-2022"
"San Antonio Spurs",82,3546,7601,925,2626,2621,4975,1262,1673,901,2815,3716,2289,626,403,1043,1483,9279,"2021-2022"
"Brooklyn Nets*",82,3442,7251,940,2602,2502,4649,1434,1781,844,2796,3640,2071,582,448,1153,1670,9258,"2021-2022"
"Denver Nuggets*",82,3416,7079,1039,2944,2377,4135,1372,1725,752,2865,3617,2279,592,305,1189,1639,9243,"2021-2022"
"Los Angeles Lakers",82,3415,7279,982,2826,2433,4453,1380,1884,782,2826,3608,1968,626,425,1191,1654,9192,"2021-2022"
"Boston Celtics*",82,3341,7167,1085,3044,2256,4123,1397,1713,863,2915,3778,2036,591,478,1118,1521,9164,"2021-2022"
"Chicago Bulls*",82,3422,7127,872,2364,2550,4763,1436,1766,711,2760,3471,1958,585,336,1053,1540,9152,"2021-2022"
"Indiana Pacers",82,3398,7338,997,2899,2401,4439,1347,1754,925,2671,3596,2081,582,457,1183,1675,9140,"2021-2022"
"Golden State Warriors*",82,3323,7087,1176,3231,2147,3856,1280,1665,800,2930,3730,2223,719,372,1221,1723,9102,"2021-2022"
"Sacramento Kings",82,3321,7223,937,2722,2384,4501,1466,1908,784,2737,3521,1943,588,369,1156,1552,9045,"2021-2022"
"Miami Heat*",82,3246,6954,1114,2936,2132,4018,1416,1753,807,2778,3585,2090,606,265,1194,1679,9022,"2021-2022"
"Philadelphia 76ers*",82,3230,6932,950,2608,2280,4324,1605,1955,700,2770,3470,1945,633,435,1027,1590,9015,"2021-2022"
"Houston Rockets",82,3229,7083,1105,3170,2124,3913,1434,2010,786,2660,3446,1932,600,382,1351,1692,8997,"2021-2022"
"Toronto Raptors*",82,3332,7489,979,2808,2353,4681,1327,1749,1095,2622,3717,1809,738,376,1021,1607,8970,"2021-2022"
"New Orleans Pelicans*",82,3294,7212,873,2629,2421,4583,1501,1903,981,2726,3707,2047,680,328,1153,1612,8962,"2021-2022"
"Washington Wizards",82,3327,7056,860,2512,2467,4544,1393,1778,737,2798,3535,2052,522,406,1077,1545,8907,"2021-2022"
"Los Angeles Clippers",82,3285,7170,1047,2802,2238,4368,1273,1606,747,2860,3607,1969,608,406,1126,1528,8890,"2021-2022"
"Dallas Mavericks*",82,3222,6982,1073,3063,2149,3919,1341,1739,759,2769,3528,1918,552,325,1025,1612,8858,"2021-2022"
