Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Jonathan Mogbo,23,TOR,PF,356,70,286,82,109,202,311,146,55,34,70,136,389,1955377
Moritz Wagner,27,ORL,C,249,75,174,110,40,108,148,42,24,12,49,55,386,5000000
Sandro Mamukelashvili,25,SAS,PF,281,161,120,58,62,125,187,48,22,17,26,60,385,2461463
Kelly Olynyk,33,2TM,C,268,79,189,108,62,144,206,128,33,19,76,123,384,13445122
Jaxson Hayes,24,LAL,C,223,3,220,98,78,191,269,58,31,51,43,136,383,3449323
Alex Caruso,30,OKC,SG,314,170,144,51,38,121,159,137,87,30,37,102,382,18102000
Jonathan Isaac,27,ORL,PF,324,151,173,107,120,194,314,40,61,80,33,90,380,15000000
Precious Achiuwa,25,NYK,C,327,36,291,69,101,216,317,55,47,42,45,81,379,6000000
Marcus Sasser,24,DET,PG,296,152,144,51,18,51,69,133,37,4,54,72,375,2886720
Julian Phillips,21,CHI,SF,287,153,134,76,67,102,169,39,38,20,27,108,366,2221677
Kyle Anderson,31,2TM,PF,303,70,233,65,53,153,206,145,40,33,37,81,357,9219512
Caleb Martin,29,2TM,SF,304,103,201,98,53,124,177,95,46,23,56,87,356,9594044
Tidjane Salaün,19,CHO,PF,345,205,140,94,70,210,280,74,29,14,58,84,353,7863240
Jared McCain,20,PHI,SG,274,133,141,56,13,43,56,60,15,0,37,37,352,4221360
Ryan Rollins,22,MIL,PG,271,120,151,45,21,87,108,104,42,17,53,88,349,4000000
Javonte Green,31,2TM,SG,287,141,146,76,59,159,218,56,65,31,32,98,347,2296274
Kevon Looney,28,GSW,C,278,5,273,99,185,277,462,118,46,37,39,154,344,8000000
Aaron Holiday,28,HOU,PG,268,181,87,41,13,65,78,83,19,11,37,64,340,2296274
Quinten Post,24,GSW,PF,274,179,95,27,35,113,148,56,16,18,33,83,340,1955377
Bruce Brown,28,2TM,PG,309,81,228,65,40,124,164,84,34,10,39,71,340,2296274
Adem Bona,21,PHI,C,192,1,191,100,92,153,245,27,26,69,61,125,337,1955377
Isaac Okoro,24,CLE,SG,267,151,116,46,49,81,130,68,32,16,23,104,337,11000000
Svi Mykhailiuk,27,UTA,SF,302,203,99,35,22,68,90,76,19,7,52,43,334,3675000
Mason Plumlee,34,PHO,C,202,4,198,128,116,339,455,134,33,47,59,154,333,2296274
Ben Sheppard,23,IND,SG,287,199,88,27,44,133,177,85,38,14,22,125,332,2790720
Tre Jones,25,2TM,PG,238,48,190,67,31,85,116,192,37,10,35,55,330,8000000
Dalen Terry,22,CHI,SG,268,104,164,69,38,86,124,97,44,15,53,114,326,5399118
Karlo Matković,23,NOP,PF,235,66,169,44,64,145,209,46,22,41,43,106,325,1955377
